order_id,supplier_name,product_id,product_name,quantity,unit_cost,order_date,expected_delivery,actual_delivery,transport_mode,weight_kg_total
PO-000342,AsiaSource Co,PRD-00019,Body Lotion 250ml,228,2.5,2024-01-07,2024-01-25,2024-01-25,SEA,181.72
PO-000343,AsiaSource Co,PRD-00019,Body Lotion 250ml,270,2.52,2024-03-12,2024-04-10,2024-04-09,SEA,215.19
PO-000344,AsiaSource Co,PRD-00019,Body Lotion 250ml,300,2.43,2024-05-14,2024-06-18,2024-06-18,SEA,239.1
PO-000345,AsiaSource Co,PRD-00019,Body Lotion 250ml,336,2.43,2024-07-18,2024-08-19,2024-08-19,SEA,267.79
PO-000346,AsiaSource Co,PRD-00019,Body Lotion 250ml,300,2.53,2024-09-20,2024-10-09,2024-10-10,SEA,239.1
PO-000347,AsiaSource Co,PRD-00019,Body Lotion 250ml,408,2.47,2024-11-18,2024-12-10,2024-12-12,SEA,325.18
PO-000348,AsiaSource Co,PRD-00019,Body Lotion 250ml,228,2.48,2025-01-18,2025-02-15,2025-02-17,SEA,181.72
PO-000349,AsiaSource Co,PRD-00019,Body Lotion 250ml,270,2.39,2025-03-19,2025-04-06,2025-04-09,SEA,215.19
PO-000350,AsiaSource Co,PRD-00019,Body Lotion 250ml,300,2.37,2025-05-22,2025-06-09,2025-06-11,SEA,239.1
PO-000351,AsiaSource Co,PRD-00019,Body Lotion 250ml,336,2.4,2025-07-21,2025-08-13,2025-08-13,SEA,267.79
PO-000352,AsiaSource Co,PRD-00019,Body Lotion 250ml,300,2.48,2025-09-19,2025-10-13,2025-10-13,SEA,239.1
PO-000352,AsiaSource Co,PRD-00019,Body Lotion 250ml,299,2.48,2025-09-19,2025-10-13,2025-10-13,SEA,239.1
PO-000353,AsiaSource Co,PRD-00019,Body Lotion 250ml,408,2.52,2025-11-17,2025-12-06,2025-12-08,SEA,325.18
PO-000451,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,144,8.13,2024-01-09,2024-02-01,2024-01-31,SEA,41.33
PO-000452,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,192,8.14,2024-02-05,2024-03-11,2024-03-13,SEA,55.1
PO-000453,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,192,8.15,2024-03-05,2024-04-02,2024-04-04,SEA,55.1
PO-000454,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,192,8.17,2024-04-05,2024-05-03,2024-05-05,SEA,55.1
PO-000455,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,192,8.33,2024-05-03,2024-06-07,2024-06-06,SEA,55.1
PO-000456,AsiaSource Co,PRD-96316,Toothpaste Whitening 100ml,240,8.11,2024-06-02,2024-06-21,2024-06-22,SEA,68.88
PO-000457,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,240,8.56,2024-07-03,2024-07-28,2024-07-30,SEA,68.88
PO-000458,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,240,8.37,2024-08-06,2024-08-26,2024-08-27,SEA,68.88
PO-000459,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,192,8.25,2024-09-04,2024-09-29,2024-09-29,SEA,55.1
PO-000460,AsiaSource Co,PRD-95124,Toothpaste Whitening 100ml,240,7.99,2024-10-07,2024-11-03,2024-11-06,SEA,68.88
PO-000461,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,288,8.09,2024-11-07,2024-11-30,2024-12-02,SEA,82.66
PO-000462,AsiaSource,PRD-00025,Toothpaste Whitening 100ml,336,8.27,2024-12-03,2025-01-18,2025-01-21,SEA,96.43
PO-000463,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,144,8.15,2025-01-01,2025-01-21,2025-01-23,SEA,41.33
PO-000464,AsiaSource,PRD-00025,Toothpaste Whitening 100ml,144,8.23,2025-01-30,2025-02-26,2025-02-25,SEA,41.33
PO-000465,ASIASOURCE,PRD-00025,Toothpaste Whitening 100ml,192,8.3,2025-03-03,2025-03-31,2025-04-01,SEA,55.1
PO-000466,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,192,8.05,2025-04-05,2025-05-02,2025-05-02,SEA,55.1
PO-000467,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,192,8.24,2025-05-06,2025-06-01,2025-05-31,SEA,55.1
PO-000468,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,240,8.3,2025-06-05,2025-06-30,2025-07-03,SEA,68.88
PO-000469,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,240,8.41,2025-07-05,2025-08-26,2025-08-29,SEA,68.88
PO-000470,Asia Source Co.,PRD-00025,Toothpaste Whitening 100ml,240,8.12,2025-08-06,2025-09-01,2025-09-01,SEA,68.88
PO-000471,ASIASOURCE,PRD-00025,Toothpaste Whitening 100ml,192,7.99,2025-09-10,2025-09-28,2025-09-28,SEA,55.1
PO-000472,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,240,8.19,2025-10-11,2025-11-06,2025-11-06,SEA,68.88
PO-000473,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,288,8.22,2025-11-14,2025-12-03,2025-12-05,SEA,82.66
PO-000474,AsiaSource Co,PRD-00025,Toothpaste Whitening 100ml,336,8.16,2025-12-18,2026-01-08,2026-01-11,SEA,96.43
