product_id,product_name,category_code,category_name,abc_class,unit_cost_gbp,unit_price_gbp,gross_margin_pct,weight_kg,service_level_target,abc_sort_order,margin_band
PRD-00001,Premium Kitchen Roll 6-Pack,HHE,Household Essentials,C,4.95,5.9,16.1,2.449,0.85,3,Low (<20%)
PRD-00002,Aluminium Foil 30m Roll,HHE,Household Essentials,C,3.23,3.88,16.8,2.473,0.85,3,Low (<20%)
PRD-00003,Cling Film 100m,HHE,Household Essentials,C,4.39,5.57,21.1,1.528,0.85,3,Medium (20-35%)
PRD-00004,Bin Bags 40L 50-Pack,HHE,Household Essentials,B,12.44,14.64,15.0,1.174,0.9,2,Low (<20%)
PRD-00005,Washing Up Liquid 500ml,HHE,Household Essentials,C,5.61,7.09,20.9,0.406,0.85,3,Medium (20-35%)
PRD-00006,Dishwasher Tablets 60-Pack,HHE,Household Essentials,C,7.74,9.4,17.6,1.1,0.85,3,Low (<20%)
PRD-00007,Kitchen Cleaner Spray 750ml,HHE,Household Essentials,B,10.44,13.26,21.2,0.367,0.9,2,Medium (20-35%)
PRD-00008,Toilet Cleaner 750ml,HHE,Household Essentials,C,3.75,4.38,14.3,1.714,0.85,3,Low (<20%)
PRD-00009,Bathroom Cleaner 500ml,HHE,Household Essentials,C,4.83,6.16,21.7,0.628,0.85,3,Medium (20-35%)
PRD-00010,Multi-Surface Wipes 80-Pack,HHE,Household Essentials,C,2.69,3.23,16.7,1.802,0.85,3,Low (<20%)
PRD-00011,Sponge Scourers 10-Pack,HHE,Household Essentials,B,13.09,16.13,18.8,1.445,0.9,2,Low (<20%)
PRD-00012,Paper Towels 12-Roll,HHE,Household Essentials,C,8.32,9.74,14.6,1.418,0.85,3,Low (<20%)
PRD-00013,Rubber Gloves Medium Pair,HHE,Household Essentials,B,9.47,11.4,16.9,0.756,0.9,2,Low (<20%)
PRD-00014,Oven Cleaner 300ml,HHE,Household Essentials,C,7.46,9.49,21.4,0.986,0.85,3,Medium (20-35%)
PRD-00015,Drain Unblocker 500ml,HHE,Household Essentials,C,2.45,2.86,14.5,0.764,0.85,3,Low (<20%)
PRD-00016,Moisturising Hand Cream 100ml,PCA,Personal Care,C,4.22,6.85,38.4,0.62,0.85,3,High (>35%)
PRD-00017,Daily Shampoo 400ml,PCA,Personal Care,A,14.11,19.24,26.7,0.219,0.95,1,Medium (20-35%)
PRD-00018,Conditioner 400ml,PCA,Personal Care,A,16.14,21.54,25.0,0.42,0.95,1,Medium (20-35%)
PRD-00019,Body Lotion 250ml,PCA,Personal Care,C,2.45,3.96,38.0,0.797,0.85,3,High (>35%)
PRD-00020,Shower Gel 500ml,PCA,Personal Care,B,7.97,11.8,32.4,0.563,0.9,2,Medium (20-35%)
PRD-00021,Deodorant Roll-On 50ml,PCA,Personal Care,B,9.96,15.8,37.0,0.511,0.9,2,High (>35%)
PRD-00022,Facial Cleanser 150ml,PCA,Personal Care,C,2.66,4.84,44.9,0.546,0.85,3,High (>35%)
PRD-00023,Lip Balm SPF15,PCA,Personal Care,C,4.24,7.47,43.2,0.218,0.85,3,High (>35%)
PRD-00024,Hand Sanitiser 500ml,PCA,Personal Care,C,6.1,9.48,35.7,0.358,0.85,3,High (>35%)
PRD-00025,Toothpaste Whitening 100ml,PCA,Personal Care,B,8.26,12.59,34.4,0.287,0.9,2,Medium (20-35%)
PRD-00026,Mouthwash Fresh Mint 500ml,PCA,Personal Care,B,11.96,16.41,27.1,0.216,0.9,2,Medium (20-35%)
PRD-00027,Cotton Buds 200-Pack,PCA,Personal Care,A,11.14,18.57,40.0,0.295,0.95,1,High (>35%)
PRD-00028,Premium Ground Coffee 250g,FBV,Food and Beverage,B,7.74,10.48,26.1,1.848,0.9,2,Medium (20-35%)
PRD-00029,English Breakfast Tea 80-Pack,FBV,Food and Beverage,C,3.7,4.48,17.5,0.618,0.85,3,Low (<20%)
PRD-00030,Instant Hot Chocolate 400g,FBV,Food and Beverage,B,7.31,10.13,27.8,0.368,0.9,2,Medium (20-35%)
PRD-00031,Organic Honey 340g,FBV,Food and Beverage,C,5.48,7.77,29.5,1.489,0.85,3,Medium (20-35%)
PRD-00032,Extra Virgin Olive Oil 500ml,FBV,Food and Beverage,C,1.6,2.11,24.0,1.954,0.85,3,Medium (20-35%)
PRD-00033,Apple Cider Vinegar 500ml,FBV,Food and Beverage,B,8.5,11.21,24.2,1.803,0.9,2,Medium (20-35%)
PRD-00034,Protein Granola 500g,FBV,Food and Beverage,C,2.58,3.63,29.0,0.747,0.85,3,Medium (20-35%)
PRD-00035,Mixed Nuts 200g,FBV,Food and Beverage,B,8.86,11.29,21.5,0.783,0.9,2,Medium (20-35%)
PRD-00036,Herbal Tea Variety 40-Pack,FBV,Food and Beverage,C,6.22,8.24,24.6,1.393,0.85,3,Medium (20-35%)
PRD-00037,Sparkling Water 12x500ml,FBV,Food and Beverage,C,6.06,7.77,22.0,1.853,0.85,3,Medium (20-35%)
PRD-00038,Luxury Bath Gift Set,SGF,Seasonal and Gifting,A,18.94,33.52,43.5,1.117,0.95,1,High (>35%)
PRD-00039,Premium Scented Candle Set,SGF,Seasonal and Gifting,A,27.49,43.03,36.1,0.719,0.95,1,High (>35%)
PRD-00040,Artisan Chocolate Selection Box,SGF,Seasonal and Gifting,B,6.36,13.73,53.7,1.105,0.9,2,High (>35%)
PRD-00041,Spa Pamper Set,SGF,Seasonal and Gifting,A,18.03,33.78,46.6,0.29,0.95,1,High (>35%)
PRD-00042,Aromatherapy Diffuser Kit,SGF,Seasonal and Gifting,A,20.34,43.03,52.7,1.306,0.95,1,High (>35%)
PRD-00043,Premium Notebook and Pen Set,SGF,Seasonal and Gifting,A,10.0,17.18,41.8,0.806,0.95,1,High (>35%)
PRD-00044,Personalised Mug Gift Box,SGF,Seasonal and Gifting,A,27.26,44.49,38.7,0.829,0.95,1,High (>35%)
PRD-00045,Festive Reed Diffuser,SGF,Seasonal and Gifting,A,18.15,36.84,50.7,0.95,0.95,1,High (>35%)
PRD-00046,Professional Floor Cleaner 5L,CLN,Cleaning Products,C,6.57,7.9,16.8,1.828,0.85,3,Low (<20%)
