product_id,product_name,abc_class,supplier_id,supplier_name,rop_optimised,recommended_mode,recommended_order_qty,green_decision_made,carbon_saving_vs_air_kg,cost_premium_vs_cheapest,requires_human_review,review_reason,decision_rationale
PRD-00001,Premium Kitchen Roll 6-Pack,B,SUP-006,MedTrade SRL,217,ROAD,1008,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 9.8%).
PRD-00002,Aluminium Foil 30m Roll,C,SUP-006,MedTrade SRL,125,ROAD,984,False,0.0,0.0,False,,Only one feasible option for C-class service level. Selected Road (HGV) (stockout risk: 14.6%).
PRD-00003,Cling Film 100m,B,SUP-006,MedTrade SRL,228,ROAD,1100,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 9.9%).
PRD-00004,Bin Bags 40L 50-Pack,A,SUP-006,MedTrade SRL,175,ROAD,600,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.9%).
PRD-00005,Washing Up Liquid 500ml,B,SUP-002,EuroFast GmbH,127,ROAD,864,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 9.2%).
PRD-00006,Dishwasher Tablets 60-Pack,B,SUP-006,MedTrade SRL,137,ROAD,648,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 9.8%).
PRD-00007,Kitchen Cleaner Spray 750ml,A,SUP-001,BritGoods Ltd,73,ROAD,700,False,0.0,0.0,True,No feasible transport option meets A service level.,WARNING: No transport mode meets the A-class service level target. Fastest available mode selected. Immediate review required. Consider emergency procurement or demand smoothing.
PRD-00008,Toilet Cleaner 750ml,C,SUP-008,LocalPack Ltd,28,ROAD,900,False,0.0,0.0,False,,Only one feasible option for C-class service level. Selected Road (HGV) (stockout risk: 12.7%).
PRD-00009,Bathroom Cleaner 500ml,B,SUP-001,BritGoods Ltd,76,ROAD,1000,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 10.0%).
PRD-00010,Multi-Surface Wipes 80-Pack,C,SUP-006,MedTrade SRL,149,ROAD,1200,False,0.0,0.0,False,,Only one feasible option for C-class service level. Selected Road (HGV) (stockout risk: 14.6%).
PRD-00011,Sponge Scourers 10-Pack,A,SUP-006,MedTrade SRL,161,ROAD,600,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.8%).
PRD-00012,Paper Towels 12-Roll,A,SUP-001,BritGoods Ltd,99,ROAD,900,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 5.0%).
PRD-00013,Rubber Gloves Medium Pair,A,SUP-006,MedTrade SRL,226,ROAD,720,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 5.0%).
PRD-00014,Oven Cleaner 300ml,A,SUP-002,EuroFast GmbH,189,ROAD,900,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.6%).
PRD-00015,Drain Unblocker 500ml,C,SUP-002,EuroFast GmbH,118,ROAD,1344,False,0.0,0.0,False,,Only one feasible option for C-class service level. Selected Road (HGV) (stockout risk: 13.5%).
PRD-00016,Moisturising Hand Cream 100ml,B,SUP-005,NordicSupply AS,150,ROAD,1020,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 9.3%).
PRD-00017,Daily Shampoo 400ml,A,SUP-005,NordicSupply AS,109,ROAD,444,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.7%).
PRD-00018,Conditioner 400ml,A,SUP-002,EuroFast GmbH,85,ROAD,400,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.4%).
PRD-00019,Body Lotion 250ml,C,SUP-003,AsiaSource Co,242,SEA,1110,False,4623.64,0.0,False,,Sea (Container) is both the lowest cost (GBP 6140) and lowest carbon (276.0 kg CO2e) option. Clear recommendation.
PRD-00020,Shower Gel 500ml,A,SUP-005,NordicSupply AS,174,ROAD,756,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.8%).
PRD-00021,Deodorant Roll-On 50ml,A,SUP-005,NordicSupply AS,131,ROAD,600,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.6%).
PRD-00022,Facial Cleanser 150ml,C,SUP-002,EuroFast GmbH,70,ROAD,960,False,0.0,0.0,False,,Only one feasible option for C-class service level. Selected Road (HGV) (stockout risk: 13.3%).
PRD-00023,Lip Balm SPF15,B,SUP-005,NordicSupply AS,138,ROAD,1008,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 9.3%).
PRD-00024,Hand Sanitiser 500ml,B,SUP-005,NordicSupply AS,110,ROAD,720,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 9.4%).
PRD-00025,Toothpaste Whitening 100ml,A,SUP-003,AsiaSource Co,430,SEA,720,False,1079.98,0.0,False,,Sea (Container) is both the lowest cost (GBP 1675) and lowest carbon (64.5 kg CO2e) option. Clear recommendation.
PRD-00026,Mouthwash Fresh Mint 500ml,A,SUP-002,EuroFast GmbH,112,ROAD,528,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.6%).
PRD-00027,Cotton Buds 200-Pack,A,SUP-003,AsiaSource Co,289,SEA,516,False,795.56,0.0,False,,Sea (Container) is both the lowest cost (GBP 1415) and lowest carbon (47.5 kg CO2e) option. Clear recommendation.
